state,party_hold,2016 rating,2018 rating,explanation
Arizona,R,Toss-Up,Toss-Up,
California,D,Solid-D,Solid-D,
Connecticut,D,Toss-Up,Solid-D,
Delaware,D,Solid-D,Solid-D,
Florida,D,Lean-D,Toss-Up,
Hawaii,D,Lean-D,Solid-D,
Indiana,R,Toss-Up,Toss-Up,
Maine,D,Toss-Up,Solid-D,
Maryland,D,Solid-D,Solid-D,
Massachusetts,D,Toss-Up,Solid-D,
Michigan,D,Likely-D,Likely-D,
Minnesota,D,Solid-D,Solid-D,
Minnesota Special,D,Likely-D,Likely-D,
Mississippi,R,Solid-R,Solid-R,
Mississippi Special,R,Solid-R,Likely-R,
Missouri,D,Likely-D,Toss-Up,
Montana,D,Toss-Up,Lean-D,
Nebraska,R,Lean-R,Solid-R,
Nevada,R,Toss-Up,Lean-D,
New Jersey,D,Likely-D,Likely-D,
New Mexico,D,Lean-D,Solid-D,
New York,D,Solid-D,Solid-D,
North Dakota,D,Toss-Up,Toss-Up,
Ohio,D,Lean-D,Likely-D,
Pennsylvania,D,Lean-D,Likely-D,
Rhode Island,D,Solid-D,Solid-D,
Tennessee,R,Solid-R,Lean-R,
Texas,R,Solid-R,Likely-R,
Utah,R,Solid-R,Solid-R,
Vermont,D,Solid-D,Solid-D,
Virginia,D,Toss-Up,Solid-D,
Washington,D,Solid-D,Solid-D,
West Virginia,D,Likely-D,Lean-D,
Wisconsin,D,Toss-Up,Lean-D,
Wyoming,R,Solid-R,Solid-R,
