state,party_hold,2016 rating,2018 rating,explanation
Alabama,R,Solid-R,Solid-R,
Alaska,R,Lean-R,Lean-R,
Arizona,R,Lean-R,Lean-R,
Arkansas,R,Lean-R,Solid-R,
California,D,Solid-D,Solid-D,
Colorado,D,Toss-Up,Lean-D,
Connecticut,D,Toss-Up,Lean-D,
Florida,R,Toss-Up,Toss-Up,
Georgia,R,Toss-Up,Lean-R,
Hawaii,D,Toss-Up,Likely-D,
Idaho,R,Solid-R,Likely-R,
Illinois,R,Toss-Up,Likely-D,
Iowa,R,Likely-R,Toss-Up,
Kansas,R,Toss-Up,Lean-R,
Maine,R,Toss-Up,Toss-Up,
Maryland,R,Lean-D,Lean-R,
Massachusetts,R,Toss-Up,Solid-R,
Michigan,R,Toss-Up,Toss-Up,
Minnesota,D,Likely-D,Lean-D,
Nebraska,R,Solid-R,Solid-R,
Nevada,R,Toss-Up,Lean-D,
New Hampshire,R,Lean-D,Likely-R,
New Mexico,R,Likely-D,Lean-D,
New York,D,Solid-D,Solid-D,
Ohio,R,Likely-R,Toss-Up,
Oklahoma,R,Solid-R,Likely-R,
Oregon,D,Solid-D,Lean-D,
Pennsylvania,D,Likely-D,Likely-D,
Rhode Island,D,Lean-D,Lean-D,
South Carolina,R,Solid-R,Likely-R,
Tennessee,R,Solid-R,Likely-R,
Texas,R,Solid-R,Solid-R,
Vermont,R,Likely-R,Likely-R,
Wisconsin,R,Toss-Up,Toss-Up,
Wyoming,R,Solid-R,Solid-R,
